DeltaTimeStamp,DeltaGPS_Speed,PositionIndex,TimeStamp,GPS_Speed,DeltaTimeDelta,GripUsageA,GripUsageB,DeltaGripUsage
-0.0316885131004,0.0,1,-0.00299778799154,125.029027104,1.66248503314e-12,21.2191583139,21.2191583139,0.0
-0.0316885131005,0.0,2,0.0255302311679,125.228678504,1.52591588356e-12,20.996598753,20.996598753,0.0
-0.0316885131004,0.0,3,0.0540138226291,125.428103869,1.40838598284e-12,20.7484791703,20.7484791703,0.0
-0.0316885131001,0.0,4,0.0824616935859,125.627265399,1.30722304638e-12,20.4751175687,20.4751175687,0.0
-0.0316885131,0.0,5,0.110882362997,125.826129507,1.22020644577e-12,20.1768160619,20.1768160619,0.0
-0.0316885131,0.0,6,0.139276239964,126.024844213,1.14419025038e-12,19.8531921944,19.8531921944,0.0
-0.0316885131,0.0,7,0.167633427526,126.223714745,1.0765365475e-12,19.5032311754,19.5032311754,0.0
-0.0316885131,0.0,8,0.195953014453,126.421834747,1.01694865967e-12,19.1299399463,19.1299399463,0.0
-0.0316885131,0.0,9,0.224239143441,126.618314294,9.63425046001e-13,18.7384979515,18.7384979515,0.0
-0.0316885131,0.0,10,0.252483493351,126.817854076,9.15253793701e-13,18.3292306516,18.3292306516,0.0
-0.0316885131,0.0,11,0.280679307163,127.020326928,8.71670279715e-13,17.9030001148,17.9030001148,0.0
-0.0316885131,0.0,12,0.308839404777,127.204410164,8.71670279715e-13,17.4680291855,17.4680291855,0.0
-0.0316885131,0.0,13,0.336977292954,127.3618231,8.71479557076e-13,17.0296145236,17.0296145236,0.0
-0.0316885131,0.0,14,0.365101550958,127.511245212,6.14969598799e-13,16.5862990784,16.5862990784,0.0
-0.0316885131,0.0,15,0.393222170654,127.65365217,1.91236325495e-13,16.1427373995,16.1427373995,0.0
-0.0316885131,0.0,16,0.421348168968,127.77386614,-5.23150688048e-14,15.7088132444,15.7088132444,0.0
-0.0316885131,0.0,17,0.449466002207,127.87517436,-2.65072100364e-14,15.2869094679,15.2869094679,0.0
-0.0316885131,0.0,18,0.47754045756,127.969406573,1.66129768379e-14,14.8775616216,14.8775616216,0.0
-0.0316885131,0.0,19,0.505492796971,128.063930912,2.56882108878e-15,14.489865765,14.489865765,0.0
-0.0316885131,0.0,20,0.533277328615,128.162694251,-4.44742315337e-15,14.1314826856,14.1314826856,0.0
-0.0316885131,0.0,21,0.560949118215,128.264611935,1.85280875313e-16,13.801810494,13.801810494,0.0
-0.0316885131,0.0,22,0.588593513612,128.366813928,8.44769127549e-16,13.5027562886,13.5027562886,0.0
-0.0316885131,0.0,23,0.616313223889,128.465296392,-9.07890823777e-17,13.2408701884,13.2408701884,0.0
-0.0316885131,0.0,24,0.644143414033,128.560864379,-1.87914455734e-16,13.0206876758,13.0206876758,0.0
-0.0316885131,0.0,25,0.672059682057,128.657002601,-3.18877986221e-18,12.8447916563,12.8447916563,0.0
-0.0316885131,0.0,26,0.7,128.748,-9.71905544497e-17,12.715,12.715,0.0
-0.0316885131,0.0,27,0.727896815636,128.826168279,-9.35080055226e-17,12.6329021741,12.6329021741,0.0
-0.0316885131,0.0,28,0.755727049498,128.893056207,-1.95441944814e-16,12.6004780457,12.6004780457,0.0
-0.0316885131,0.0,29,0.783493965748,128.955804536,5.11820071337e-19,12.6178087555,12.6178087555,0.0
