In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
314.9521745,-112.5190002,311.9588717,-123.8675553,313.4555231,-118.1932778,68
319.6411537,-114.3203834,316.6036388,-125.6550987,318.1223962,-119.987741,69
324.3097591,-116.1073304,321.2735857,-127.4446093,322.7916724,-121.7759699,70
328.9085896,-117.8647938,326.0147593,-129.2598404,327.4616745,-123.5623171,71
333.5910576,-119.6516102,330.6729673,-131.0439503,332.1320125,-125.3477803,72
338.307323,-121.450602,335.2988497,-132.8120052,336.8030863,-127.1313036,73
342.9355397,-123.2183849,340.0123274,-134.6124803,341.4739336,-128.9154326,74
347.6822539,-125.0276634,344.6072309,-136.3715964,346.1447424,-130.6996299,75
352.3019568,-126.7937655,349.3290161,-138.1742538,350.8154864,-132.4840096,76
356.9943514,-128.5879477,353.9763422,-139.9533913,355.4853468,-134.2706695,77
361.6500952,-130.372129,358.6580616,-141.7485156,360.1540784,-136.0603223,78
366.3434723,-132.1687067,363.3043962,-143.5253508,364.8239342,-137.8470287,79
370.9638027,-133.9212991,368.028726,-145.3331689,369.4962644,-139.627234,80
375.5683099,-135.6575953,372.7716655,-147.14981,374.1699877,-141.4037027,81
380.3190694,-137.4450219,377.3725938,-148.9041842,378.8458316,-143.174603,82
384.9794195,-139.2097822,382.0608546,-150.6894375,383.520137,-144.9496098,83
389.6664932,-140.9917179,386.7224175,-152.4574854,388.1944554,-146.7246017,84
394.3098007,-142.7577819,391.4298225,-154.2358671,392.8698116,-148.4968245,85
398.9377991,-144.4968441,396.1635344,-156.0121758,397.5506667,-150.2545099,86
403.6785798,-146.2710679,400.7935917,-157.7288449,402.2360858,-151.9999564,87
408.4103943,-148.0617997,405.4291044,-159.4384173,406.9197493,-153.7501085,88
412.8271034,-149.6688706,410.4462346,-161.1430573,411.636669,-155.405964,89
416.4806344,-150.2857445,416.6097336,-162.2652602,416.545184,-156.2755023,90
419.3345447,-149.620167,423.5112411,-161.1760675,421.4228929,-155.3981172,91
421.3607164,-147.9592867,429.4568828,-156.9190925,425.4087996,-152.4391896,92
422.6510765,-145.7481607,433.8464091,-150.9682179,428.2487428,-148.3581893,93
423.5230886,-142.4446394,436.0219326,-144.789933,429.7725106,-143.6172862,94
423.9289325,-138.4448306,436.737352,-138.8622043,430.3331423,-138.6535174,95
424.1270766,-133.899609,436.9194089,-133.4187126,430.5232427,-133.6591608,96
424.3084135,-128.7960398,437.0157488,-128.5298802,430.6620812,-128.66296,97
424.5164248,-123.4710306,437.1233259,-123.8616006,430.8198754,-123.6663156,98
424.7501004,-118.3342528,437.283804,-119.0070054,431.0169522,-118.6706291,99
424.995113,-113.3617375,437.4438432,-113.9882655,431.2194781,-113.6750015,100
425.2601219,-108.235799,437.5698734,-109.1222606,431.4149976,-108.6790298,101
425.5246954,-103.2625487,437.7031865,-104.1038582,431.613941,-103.6832034,102
425.8016623,-98.22093443,437.8560317,-99.15499502,431.828847,-98.68796472,103
426.086855,-93.2057446,438.0071758,-94.17993158,432.0470154,-93.69283809,104
426.3911478,-88.15763114,438.1438525,-89.23805044,432.2675002,-88.69784079,105
426.7081103,-83.1646226,438.288214,-84.24201297,432.4981621,-83.70331778,106
427.0305226,-78.21263697,438.4360649,-79.20552847,432.7332938,-78.70908272,107
427.2814872,-73.4332493,438.5726437,-73.99266428,432.9270654,-73.71295679,108
427.3381484,-68.97300948,438.6004876,-68.45422124,432.969318,-68.71361536,109
427.0785016,-64.55984377,438.2732785,-62.88791025,432.67589,-63.72387701,110
426.4874012,-60.31554808,437.2126246,-57.27754141,431.8500129,-58.79654474,111
425.5193912,-56.20210778,435.5232431,-51.75391157,430.5213172,-53.97800968,112
424.1274771,-52.15695866,433.6362398,-46.35553114,428.8818585,-49.2562449,113
422.3119432,-48.29407744,431.2161803,-41.16544308,426.7640618,-44.72976026,114
420.1071889,-44.68362098,428.185547,-36.26289278,424.1463679,-40.47325688,115
417.4330558,-41.18004598,424.6585955,-31.92773843,421.0458257,-36.5538922,116
414.2672933,-37.70083086,420.9775114,-28.12139569,417.6224023,-32.91111328,117
410.8928319,-34.37924859,417.1165061,-24.54155789,414.004669,-29.46040324,118
407.2282808,-30.91717341,413.4200438,-21.23506748,410.3241623,-26.07612045,119
403.5891092,-27.48877616,409.704939,-17.88754002,406.6470241,-22.68815809,120
399.962284,-24.10595267,405.9736974,-14.49853996,402.9679907,-19.30224631,121
396.3005238,-20.71269731,402.282578,-11.11431972,399.2915509,-15.91350851,122
392.6080435,-17.28635073,398.6467158,-7.736667136,395.6273797,-12.51150894,123
388.935349,-13.87588737,395.0082005,-4.324748509,391.9717748,-9.100317939,124
385.279722,-10.47154944,391.3737786,-0.884103448,388.3267503,-5.677826446,125
381.6344271,-7.080337046,387.7277443,2.568344113,384.6810857,-2.255996466,126
377.9975238,-3.702410707,384.0609938,6.020888312,381.0292588,1.159238803,127
