InLat,InLon,OutLat,OutLon
34.73860631,126.4132227,34.73848497,126.4132298
34.73860738,126.4132445,34.73848613,126.4132516
34.73860845,126.4132664,34.7384873,126.4132735
34.73860952,126.4132882,34.73848847,126.4132953
34.73861059,126.41331,34.73848963,126.4133171
34.73861167,126.4133318,34.7384908,126.4133389
34.73861274,126.4133537,34.73849196,126.4133607
34.73861381,126.4133755,34.73849313,126.4133826
34.73861488,126.4133973,34.73849429,126.4134044
34.73861595,126.4134191,34.73849546,126.4134262
34.73861702,126.413441,34.73849662,126.413448
34.73861809,126.4134628,34.73849779,126.4134698
34.73861916,126.4134846,34.73849895,126.4134916
34.73862023,126.4135064,34.73850012,126.4135135
34.7386213,126.4135283,34.73850128,126.4135353
34.73862238,126.4135501,34.73850245,126.4135571
34.73862345,126.4135719,34.73850361,126.4135789
34.73862452,126.4135937,34.73850478,126.4136007
34.73862559,126.4136155,34.73850595,126.4136226
34.73862666,126.4136374,34.73850711,126.4136444
34.73862773,126.4136592,34.73850828,126.4136662
34.7386288,126.413681,34.73850944,126.413688
34.73862987,126.4137028,34.73851061,126.4137098
34.73863094,126.4137247,34.73851177,126.4137316
34.73863201,126.4137465,34.73851294,126.4137535
34.73863308,126.4137683,34.7385141,126.4137753
34.73863416,126.4137901,34.73851527,126.4137971
34.73863523,126.413812,34.73851643,126.4138189
34.7386363,126.4138338,34.7385176,126.4138407
34.73863737,126.4138556,34.73851876,126.4138625
34.73863844,126.4138774,34.73851993,126.4138844
34.73863951,126.4138993,34.73852109,126.4139062
34.73864058,126.4139211,34.73852226,126.413928
34.73864165,126.4139429,34.73852343,126.4139498
34.73864272,126.4139647,34.73852459,126.4139716
34.73864379,126.4139866,34.73852576,126.4139935
34.73864487,126.4140084,34.73852692,126.4140153
34.73864594,126.4140302,34.73852809,126.4140371
34.73864701,126.414052,34.73852925,126.4140589
34.73864808,126.4140738,34.73853042,126.4140807
34.73864915,126.4140957,34.73853158,126.4141025
34.73865022,126.4141175,34.73853275,126.4141244
34.73865129,126.4141393,34.73853391,126.4141462
34.73865236,126.4141611,34.73853508,126.414168
34.73865343,126.414183,34.73853624,126.4141898
34.7386545,126.4142048,34.73853741,126.4142116
34.73865558,126.4142266,34.73853857,126.4142335
34.73865665,126.4142484,34.73853974,126.4142553
34.73865772,126.4142703,34.73854091,126.4142771
34.73865879,126.4142921,34.73854207,126.4142989
34.73865986,126.4143139,34.73854324,126.4143207
34.73866093,126.4143357,34.7385444,126.4143425
34.738662,126.4143576,34.73854557,126.4143644
34.73866307,126.4143794,34.73854673,126.4143862
34.73866414,126.4144012,34.7385479,126.414408
34.73866521,126.414423,34.73854906,126.4144298
34.73866629,126.4144449,34.73855023,126.4144516
34.73866736,126.4144667,34.73855139,126.4144734
34.73866843,126.4144885,34.73855256,126.4144953
34.7386695,126.4145103,34.73855372,126.4145171
34.73867057,126.4145321,34.73855489,126.4145389
34.73867164,126.414554,34.73855605,126.4145607
34.73867271,126.4145758,34.73855722,126.4145825
34.73867378,126.4145976,34.73855839,126.4146044
34.73867485,126.4146194,34.73855955,126.4146262
34.73867592,126.4146413,34.73856072,126.414648
34.738677,126.4146631,34.73856188,126.4146698
34.73867807,126.4146849,34.73856305,126.4146916
34.73867914,126.4147067,34.73856421,126.4147134
34.73868021,126.4147286,34.73856538,126.4147353
34.73868128,126.4147504,34.73856654,126.4147571
34.73868235,126.4147722,34.73856771,126.4147789
34.73868342,126.414794,34.73856887,126.4148007
34.73868449,126.4148159,34.73857004,126.4148225
34.73868556,126.4148377,34.7385712,126.4148444
34.73868663,126.4148595,34.73857237,126.4148662
34.73868771,126.4148813,34.73857354,126.414888
34.73868878,126.4149032,34.7385747,126.4149098
34.73868985,126.414925,34.73857587,126.4149316
34.73869092,126.4149468,34.73857703,126.4149534
34.73869199,126.4149686,34.7385782,126.4149753
34.73869306,126.4149904,34.73857936,126.4149971
34.73869413,126.4150123,34.73858053,126.4150189
34.7386952,126.4150341,34.73858169,126.4150407
34.73869627,126.4150559,34.73858286,126.4150625
34.73869734,126.4150777,34.73858402,126.4150843
34.73869842,126.4150996,34.73858519,126.4151062
34.73869949,126.4151214,34.73858635,126.415128
34.73870056,126.4151432,34.73858752,126.4151498
34.73870163,126.415165,34.73858868,126.4151716
34.7387027,126.4151869,34.73858985,126.4151934
34.73870377,126.4152087,34.73859102,126.4152153
34.73870484,126.4152305,34.73859218,126.4152371
34.73870591,126.4152523,34.73859335,126.4152589
