In_x,In_y,Out_x,Out_y,Center_x,Center_y,PositionIndex
64.60188839,-17.77556115,60.84243408,-29.33836377,62.72216123,-23.55696246,68
65.53520722,-18.12779263,61.78141356,-29.68933852,63.65831039,-23.90856558,69
66.46845966,-18.48001676,62.72046494,-30.04030596,64.5944623,-24.26016136,70
67.40176291,-18.83225121,63.65945778,-30.39128368,65.53061034,-24.61176745,71
68.33504549,-19.18446811,64.59848445,-30.7422439,66.46676497,-24.96335601,72
69.26835373,-19.53669264,65.53747974,-31.09321173,67.40291673,-25.31495218,73
70.20165213,-19.88891308,66.47648793,-31.44417549,68.33907003,-25.66654428,74
71.13493424,-20.24113107,67.41551425,-31.79513678,69.27522425,-26.01813393,75
72.06821066,-20.59336402,68.35453505,-32.146113,70.21137285,-26.36973851,76
73.00149393,-20.94557913,69.29356237,-32.49707144,71.14752815,-26.72132529,77
73.93479994,-21.29781436,70.23255186,-32.84804994,72.0836759,-27.07293215,78
74.86806559,-21.65003463,71.17159293,-33.19901352,73.01982926,-27.42452407,79
75.80137217,-22.00226969,72.11058198,-33.54999185,73.95597708,-27.77613077,80
76.73465544,-22.3544848,73.0496093,-33.9009503,74.89213237,-28.12771755,81
77.66794357,-22.70672268,73.98861469,-34.25193143,75.82827913,-28.47932705,82
78.60121393,-23.05893585,74.92765638,-34.60288791,76.76443516,-28.83091188,83
79.53453734,-23.41116561,75.86663259,-34.95386095,77.70058496,-29.18251328,84
80.46782061,-23.76338071,76.80565991,-35.30481939,78.63674026,-29.53410005,85
81.40114021,-24.11561197,77.74463879,-35.65579392,79.5728895,-29.88570294,86
82.33440587,-24.46783223,78.68367985,-36.00675751,80.50904286,-30.23729487,87
83.26769885,-24.82007127,79.62267951,-36.3577398,81.44518918,-30.58890554,88
84.20097714,-25.17228784,80.56171072,-36.7086997,82.38134393,-30.94049377,89
85.13428481,-25.52451771,81.50070258,-37.05967283,83.3174937,-31.29209527,90
86.06755207,-25.87673369,82.43974526,-37.41063213,84.25364867,-31.64368291,91
87.00086402,-26.22896719,83.37873012,-37.7616089,85.18979707,-31.99528804,92
