RefinedDistance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_Height,GPS_PosAccuracy,RPM,Pedal_throttle,Pedal_brake,Steer_angle,Gear,CoolantT,OilT,Internal Batte,External Batte,TOYO_SPEED_VEH,TOYO_BRAKE_SW,TOYO_IAT,TOYO_MAP,TOYO_AAT,TOYO_BARO,TOYO_LAMBDA,TOYO_THROTTLE,TOYO_CAT1_T,TOYO_CLUCH_SW,TOYO_WHE_FL,TOYO_WHE_FR,TOYO_WHE_RL,TOYO_WHE_RR,GPS_Nsat,GPS_Slope,GPS_Elevation,PositionIndex,LapNo,timeDelta
14786.61655,1.795510869,9.112492734,-0.000308059,126.4132459,34.7386275,0.067833489,125.356003,34.7386275,126.4132459,0.212802,0.007368,-3.746517,3.348092,-2.412863,88.220322,0.103038,0,2.25,6883.919922,99.999985,0,3,3,89,92,4.232882,13.928,125.884003,0,15,0.988200012,15,1.01,0.827,96,635,0,122.610008,122.428001,126.002007,125.865997,10,-0.170077,-2.93,2.359191999,5,0
14788.38824,3.566311257,9.168711284,-0.000259207,126.4132653,34.738628,0.117833489,125.7180619,34.738628,126.4132653,0.2117315,0.009917,-3.7486965,3.3478855,-2.4405025,88.231781,0.146812,0,2.25,6923,99.999985,0,3,3,89,92,4.232932,13.928,126.3200035,0,15,0.972700012,15,1.01,0.827,96,635,0,122.860008,122.709999,126.3060075,126.3929975,10,-0.158618,-2.935,4.13003647,5,0
14790.14054,5.317747598,9.223514361,-0.000231673,126.4132844,34.7386285,0.167833489,126.074005,34.7386285,126.4132844,0.210661,0.012466,-3.750876,3.347679,-2.468142,88.24324,0.190586,0,2.25,6962.080078,99.999985,0,3,3,89,92,4.232982,13.928,126.756004,0,15,0.957200012,15,1.01,0.827,96,635,0,123.110008,122.991997,126.610008,126.919998,10,-0.147159,-2.94,5.881480494,5,0
14791.86186,7.038247856,9.276656489,-0.000317433,126.4133032,34.73862897,0.217833489,126.4532877,34.73862897,126.4133032,0.209966,0.0150155,-3.7613515,3.344073,-2.4644115,88.2500035,0.236423,0,2.25,6997.600098,99.999985,0,3,3,89,92,4.232991,13.928,127.2380025,0,15,0.953600006,15,1.01,0.827,96,635,0,123.6060065,123.4559975,127.147007,127.338001,10,-0.140398,-2.94,7.601917329,5,0
14793.6845,8.860048641,9.331901851,-0.000293434,126.4133232,34.73862947,0.267833489,126.856003,34.73862947,126.4133232,0.209271,0.017565,-3.771827,3.340467,-2.460681,88.256767,0.28226,0,2.25,7033.120117,99.999985,0,3,3,89,92,4.233,13.928,127.720001,0,15,0.95,15,1.01,0.827,96,635,0,124.102005,123.919998,127.684006,127.756004,10,-0.133637,-2.94,9.423639642,5,0
14795.64438,10.81906269,9.390219995,-0.000191938,126.4133446,34.73862999,0.317833489,127.2588111,34.73862999,126.4133446,0.208634,0.020114,-3.7764645,3.345237,-2.408327,88.262497,0.3187,0,2.25,7023.070069,99.999985,0,3,3,89,92,4.233,13.928,127.646,0,15,0.954100006,15,1.01,0.827,96,635,0,124.611004,124.419998,127.710007,127.623001,9.59,-0.12086,-2.93,11.38249068,5,0
14797.24811,12.42209858,9.437392267,-0.000298358,126.4133621,34.73863042,0.367833489,127.574005,34.73863042,126.4133621,0.207997,0.022663,-3.781102,3.350007,-2.355973,88.268227,0.35514,0,2.2582,7013.02002,99.999985,0,3,3,89,92,4.233,13.928,127.571999,0,15,0.958200012,15,1.01,0.827,96,635,0,125.120003,124.919998,127.736008,127.489998,9.18,-0.108083,-2.92,12.98537272,5,0
14798.01827,13.19193487,9.459773254,-0.004540467,126.4133705,34.73863062,0.417833489,127.7238673,34.73863062,126.4133705,0.2078505,0.0232175,-3.78115,3.35157,-2.34388,88.269543,0.3630465,0,2.2582,7010.709961,99.999985,0,3,3,89,92,4.233,13.928,127.5584985,0,15,0.959350006,15,1.01,0.827,96,635,0,125.222504,125.0249975,127.7380065,127.4700015,9.09,-0.104932,-2.92,13.7550918,5,0
14798.07069,13.24433408,9.461198694,-0.008471622,126.4133711,34.73863063,0.467833489,127.735008,34.73863063,126.4133711,0.207704,0.023772,-3.781198,3.353133,-2.331787,88.270859,0.370953,0,2.26,7008.399902,99.999985,0,3,3,89.050003,92,4.233,13.928,127.544998,0,15,0.9605,15,1.01,0.827,96,635,0,125.325005,125.129997,127.740005,127.450005,9,-0.101781,-2.92,13.80747814,5,0
14798.3479,12.96723957,9.453273572,0,126.4133681,34.73863056,0.517833489,127.6830083,34.73863056,126.4133681,0.207704,0.023772,-3.781198,3.353133,-2.331787,88.270859,0.370953,0,2.26,7008.399902,99.999985,0,3,3,89.050003,92,4.233,13.928,127.544998,0,15,0.9605,15,1.01,0.827,96,635,0,125.325005,125.129997,127.740005,127.450005,9,-0.101781,-2.92,13.53042756,5,0
