RefinedDistance,PosLocalX,PosLocalY,InverseRadius,RefinedPosLon,RefinedPosLat,TimeStamp,GPS_Speed,PosLat,PosLon,AccelForward,AccelLateral,DeviceAccelForward,DeviceAccelLateral,DeviceAccelVertical,AngleTrack,AngleRateZ,GPS_Height,GPS_PosAccuracy,RPM,Pedal_throttle,Pedal_brake,Steer_angle,Gear,CoolantT,OilT,Internal Batte,External Batte,TOYO_SPEED_VEH,TOYO_BRAKE_SW,TOYO_IAT,TOYO_MAP,TOYO_AAT,TOYO_BARO,TOYO_LAMBDA,TOYO_THROTTLE,TOYO_CAT1_T,TOYO_CLUCH_SW,TOYO_WHE_FL,TOYO_WHE_FR,TOYO_WHE_RL,TOYO_WHE_RR,GPS_Nsat,GPS_Slope,GPS_Elevation,PositionIndex,LapNo,timeDelta
5865.86525497,18.3391757784,10.5660742323,-0.000117376277944,126.413426777,34.7386405572,0.532620716184,128.674449479,34.7386405572,126.413426776,0.2083795,0.008607,-3.748383,3.3395835,-2.3513755,87.783333,0.123092,0.0,2.41,7068.219971,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,128.5870055,0.0,16.0,0.96,15.0,1.01,0.827,97.0,705.0,0.0,125.885002,125.8685035,128.5540045,128.6365055,10.0,0.023124,-3.02,18.9612375463,2,-0.17652937404
5867.54375694,20.0163772589,10.6321351713,-0.000156526842232,126.413445111,34.7386411506,0.582620716184,129.035995,34.7386411506,126.413445111,0.204339,0.009139,-3.74455,3.337353,-2.387769,87.7929,0.13077,0.0,2.41,7100.879883,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,129.171005,0.0,16.0,0.96,15.0,1.01,0.827,97.0,705.0,0.0,126.135002,126.135002,129.171005,129.137009,10.0,0.023124,-3.02,20.6392500002,2,-0.175127980416
5868.6111157,21.0829180444,10.673914098,-0.000265937953119,126.41345677,34.738641526,0.632620716184,129.265674619,34.738641526,126.41345677,0.2025225,0.009407,-3.744688,3.3354865,-2.4072735,87.7970235,0.135239,0.0,2.41,7112.4899905,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,129.4095075,0.0,16.0,0.960299988,15.0,1.01,0.827,96.970001,705.0,0.0,126.244503,126.241501,129.4065015,129.3485035,10.0,0.022952,-3.015,21.706375101,2,-0.155023967698
5868.9531825,21.424725205,10.6872393376,0.00069175959131,126.413460507,34.7386416457,0.682620716184,129.34201,34.7386416457,126.413460506,0.200706,0.009675,-3.744826,3.33362,-2.426778,87.801147,0.139708,0.0,2.41,7124.100098,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,129.64801,0.0,16.0,0.960599976,15.0,1.01,0.827,96.940002,705.0,0.0,126.354004,126.348,129.641998,129.559998,10.0,0.02278,-3.01,22.0483089868,2,-0.114558817321
5869.17535607,21.2027185893,10.678627875,1.67158580653e-14,126.41345808,34.7386415683,0.732620716184,129.300992296,34.7386415683,126.41345808,0.200706,0.009675,-3.744826,3.33362,-2.426778,87.801147,0.139708,0.0,2.41,7124.100098,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,129.64801,0.0,16.0,0.960599976,15.0,1.01,0.827,96.940002,705.0,0.0,126.354004,126.348,129.641998,129.559998,10.0,0.02278,-3.01,21.826236767,2,-0.0583693770134
5869.39752964,21.424725205,10.6872393376,-2.63133786807e-05,126.413460507,34.7386416457,0.782620716184,129.34201,34.7386416457,126.413460506,0.200706,0.009675,-3.744826,3.33362,-2.426778,87.801147,0.139708,0.0,2.41,7124.100098,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,129.64801,0.0,16.0,0.960599976,15.0,1.01,0.827,96.940002,705.0,0.0,126.354004,126.348,129.641998,129.559998,10.0,0.02278,-3.01,22.0483089868,2,-0.0145588173207
5870.90563254,22.9316961631,10.7456592026,-6.52692021437e-05,126.41347698,34.7386421705,0.832620716184,129.631662073,34.7386421705,126.41347698,0.194932,0.010631,-3.753279,3.3306955,-2.4472175,87.807224,0.1518545,0.0,2.41,7140.969971,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,130.0420075,0.0,16.0,0.965599976,15.0,1.01,0.827,96.470001,705.0,0.0,126.8040045,126.7479975,129.9950025,130.0390015,10.0,0.020087,-3.01,23.5560196904,2,-0.00549602502938
5873.02568975,25.0501718304,10.8275337033,-0.000132824646059,126.413500139,34.738642906,0.882620716184,130.041992,34.738642906,126.413500138,0.189158,0.011587,-3.761732,3.327771,-2.467657,87.813301,0.164001,0.0,2.41,7157.839844,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,130.436005,0.0,16.0,0.970599976,15.0,1.01,0.827,96.0,705.0,0.0,127.254005,127.147995,130.348007,130.518005,10.0,0.017394,-3.01,25.6754792615,2,-0.0137001397369
5874.92732197,26.950404992,10.9004653179,-0.000152328363669,126.413520911,34.7386435611,0.932620716184,130.411115413,34.7386435611,126.413520911,0.1827465,0.0125235,-3.7662775,3.332397,-2.44975,87.8244135,0.186232,0.0,2.41,7165.3498535,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,130.736,0.0,16.0,0.974699982,15.0,1.01,0.827,96.0,705.0,0.0,127.6890065,127.5359995,130.7420045,130.683006,10.0,0.017394,-3.0,27.5765651515,2,-0.0159200466108
5876.67008952,28.6919088506,10.9668207452,-8.20169065442e-05,126.413539949,34.7386441572,0.982620716184,130.735992,34.7386441572,126.413539948,0.176335,0.01346,-3.770823,3.337023,-2.431843,87.835526,0.208463,0.0,2.4094,7172.859863,99.999985,0.0,3.0,3.0,90.0,94.0,4.232,13.923,131.035995,0.0,16.0,0.978799988,15.0,1.01,0.827,96.0,705.0,0.0,128.124008,127.924004,131.136002,130.848007,10.0,0.017394,-2.99,29.3188475617,2,-0.0134541295548
