DeltaTimeStamp,DeltaGPS_Speed,PositionIndex,TimeStamp,GPS_Speed,DeltaTimeDelta
0.000329811698614,-0.344669474631,1,0.0296134584216,124.712067366,0.0
0.000488466639155,-0.338634466542,2,0.0582236835165,124.94069838,0.00554539295006
0.000965367509442,-0.320180215016,3,0.0867802681358,125.169318546,0.0167002068576
0.00118419191046,-0.294302646708,4,0.115292304184,125.397732298,0.00767480795315
0.000830830415283,-0.266581344133,5,0.143768871505,125.625742332,-0.012408851502
0.00114345498399,-0.246112934628,6,0.172218557052,125.853080379,0.0109886827462
0.00183535069392,-0.238837896949,7,0.20064696974,126.079441467,0.0243381759486
-0.00292253191934,-0.237421940127,8,0.229029212291,126.305268595,-0.167635894334
-0.00507807685913,-0.232928037963,9,0.257317904007,126.531523298,-0.0761981134168
0.0188697886371,-0.218309022267,10,0.285459050558,126.759106134,0.850991108438
0.0272764724728,-0.193857124817,11,0.313452178589,126.987937279,0.30031241333
-0.0539287692369,-0.167291385451,12,0.341461194331,127.215107602,-2.89925367096
0.00541336949419,-0.139772890085,13,0.369625369691,127.436992806,2.10700785562
-0.220227891601,-0.125096025772,14,0.397990295274,127.649900867,-7.95493929417
-0.261427028863,-0.109512829591,15,0.426515499042,127.854864619,-1.44430650165
-0.104564249574,-0.0964670789899,16,0.454922496203,128.057064402,5.52197680033
-0.149229509161,-0.0958239708815,17,0.481632214447,128.260869202,-1.67224750105
-0.194429547601,-0.10118233975,18,0.505948072338,128.469472743,-1.85887080941
-0.181003193519,-0.109122322865,19,0.533865642689,128.682793978,0.480928458763
-0.167415917159,-0.117525642433,20,0.567221311362,128.898867591,0.40734534491
-0.179368223062,-0.122259261961,21,0.588441623043,129.112588358,-0.563248367091
-0.121785538292,-0.106971325394,22,0.675265181152,129.331411342,0.663214984782
-0.0294554729913,-0.10083036149,23,0.793934379929,129.529893607,0.778045746091
0.001563217543,-0.103244649359,24,0.852138668739,129.714850948,0.532927919382
-0.0047626092573,-0.0963463764099,25,0.873342740168,129.908874799,-0.298330762632
-0.0166009782149,-0.0890438142274,26,0.888855410795,130.105724489,-0.763141901356
-0.0175889371771,-0.0865137857903,27,0.915252325916,130.300291451,-0.0374270613671
-0.01513614812,-0.0893455382788,28,0.945150956763,130.491776386,0.0820368353844
-0.0139379062383,-0.0989501069195,29,0.973689090703,130.678222571,0.0419873942787
-0.0132439062301,-0.115912998459,30,1.00162151764,130.856036835,0.0248456752323
-0.012882479625,-0.1367988141,31,1.02921938571,131.024266618,0.0130961784528
-0.0130946264712,-0.156492280257,32,1.05632184474,131.183498891,-0.00782758663925
